Unnamed: 0,Unnamed: 0.1,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,AHV,lonlat,geometry,hour_of_the_day,average_temparature,Descriptor_cat,precipitation_levels,zonedist_cat,AHV,yearbuilt,lotdepth,simple_zone_cat,unitsres,enforcability_score,Predicted Enforcability Probability,Predicted Enforcability Score
0,80,43104220,2019-06-26 23:21:00,06/27/2019 10:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10012.0,32 SPRING STREET,SPRING STREET,MOTT ST,MULBERRY ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/27/2019 10:00:00 PM,02 MANHATTAN,1004800023.0,MANHATTAN,985453.0,202208.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72169088500663,-73.99566002618063,"(40.72169088500663, -73.99566002618063)",0,"(-73.99566002618063, 40.72169088500663)",POINT (985452.9999992924 202208.0144037292),23,77.0,0,0.0,23,0,1915.4285714285713,95.80928571428572,14,18.976190476190474,2,0.19,2
1,81,43104221,2019-06-26 22:14:00,06/27/2019 11:30:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10024.0,555 WEST END AVENUE,WEST END AVENUE,W 86 ST,W 87 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/27/2019 11:30:00 PM,07 MANHATTAN,1012480036.0,MANHATTAN,990474.0,226861.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.78935498178245,-73.97752331667051,"(40.78935498178245, -73.97752331667051)",0,"(-73.977523316670514, 40.789354981782452)",POINT (990473.9999963001 226861.0144195119),22,77.0,0,0.0,49,0,1913.5217391304348,101.55826086956522,5,34.69565217391305,2,0.16,2
2,82,43104222,2019-06-26 01:19:00,07/02/2019 01:45:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10453.0,175 WEST BURNSIDE AVENUE,WEST BURNSIDE AVENUE,LORING PL,HENNESSY PL,,,ADDRESS,BRONX,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/02/2019 01:45:00 AM,05 BRONX,2032280001.0,BRONX,1007795.0,250430.0,PHONE,Unspecified,BRONX,,,,,,,,40.85401601727823,-73.914889449133,"(40.85401601727823, -73.914889449133)",0,"(-73.914889449133, 40.854016017278227)",POINT (1007794.999985976 250430.0144343904),1,77.0,0,0.0,25,0,1913.2033898305085,100.9471186440678,2,8.135593220338983,2,0.1,2
3,83,43104223,2019-06-26 18:39:00,06/27/2019 09:15:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10011.0,7 WEST   14 STREET,WEST   14 STREET,5 AVE,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/27/2019 09:15:00 PM,05 MANHATTAN,1008160031.0,MANHATTAN,985848.0,207521.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.736273709822896,-73.99423375227558,"(40.7362737098229, -73.99423375227558)",0,"(-73.994233752275576, 40.736273709822896)",POINT (985847.9999990568 207521.0144071475),18,77.0,0,0.0,114,0,1927.8709677419354,107.82,14,59.70967741935484,2,0.14,2
5,85,43104226,2019-06-26 09:49:00,07/03/2019 10:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11228.0,,,,,10 AVENUE,82 STREET,INTERSECTION,BROOKLYN,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/03/2019 10:00:00 AM,10 BROOKLYN,,BROOKLYN,979211.0,165282.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.620335941581736,-74.01815122226141,"(40.620335941581736, -74.0181512222614)",0,"(-74.018151222261409, 40.620335941581736)",POINT (979211.0000029738 165282.0143796818),9,77.0,3,0.0,100,0,1926.3644859813085,100.01962616822429,6,1.1775700934579438,2,0.45,2
6,86,43104228,2019-06-26 20:16:00,07/01/2019 03:15:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Private Carting Noise (NQ1),,10033.0,700 WEST  178 STREET,WEST  178 STREET,BROADWAY,CBE NB EXIT 1 A UPPERDECK,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/01/2019 03:15:00 AM,12 MANHATTAN,1021760070.0,MANHATTAN,1001431.0,248388.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.848426011880974,-73.93789928308587,"(40.84842601188098, -73.93789928308588)",0,"(-73.937899283085869, 40.848426011880974)",POINT (1001430.999989773 248388.0144331008),20,77.0,9,0.0,22,0,1936.1,118.2215,0,40.3,2,0.28,2
7,87,43107781,2019-06-26 23:31:00,06/27/2019 06:15:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11231.0,134 CENTER STREET,CENTER STREET,CENTRE MALL,GOWANUS EXPY,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/27/2019 06:15:00 AM,06 BROOKLYN,,BROOKLYN,983798.0,184966.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.674365683626775,-74.00162948975733,"(40.674365683626775, -74.00162948975733)",0,"(-74.001629489757335, 40.674365683626775)",POINT (983798.0000002659 184966.0143925592),23,77.0,0,0.0,25,0,1833.2921810699588,280.2595473251029,3,0.8888888888888888,2,0.25,2
9,89,43107793,2019-06-26 10:25:00,07/01/2019 02:46:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11106.0,35-45 33 STREET,33 STREET,35 AVE,36 AVE,,,ADDRESS,Astoria,,,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,07/01/2019 02:46:00 PM,01 QUEENS,4006060006.0,QUEENS,1004343.0,214956.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.75665823257565,-73.92747391419594,"(40.756658232575646, -73.92747391419594)",0,"(-73.927473914195943, 40.756658232575653)",POINT (1004342.999988067 214956.0144119),10,77.0,4,0.0,25,0,1930.340425531915,99.79031914893616,2,7.680851063829787,2,0.62,1
10,90,43107794,2019-06-26 17:06:00,07/01/2019 02:53:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10075.0,333 EAST   80 STREET,EAST   80 STREET,2 AVE,1 AVE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,07/01/2019 02:53:00 PM,08 MANHATTAN,1015430018.0,MANHATTAN,997274.0,221037.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7733622427577,-73.95297782252003,"(40.773362242757706, -73.95297782252003)",0,"(-73.952977822520026, 40.773362242757699)",POINT (997273.9999922641 221037.0144157943),17,77.0,4,0.0,1,0,1731.967741935484,101.1235483870968,5,34.516129032258064,2,0.47,2
11,91,43107795,2019-06-26 16:51:00,07/01/2019 10:07:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10301.0,131 JERSEY STREET,JERSEY STREET,RICHMOND TER,BEND,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection researched this complaint and determined that it could be closed.,07/01/2019 10:07:00 AM,01 STATEN ISLAND,5000510001.0,STATEN ISLAND,960146.0,174002.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.64423912726966,-74.08685728635189,"(40.64423912726966, -74.08685728635189)",0,"(-74.086857286351886, 40.644239127269657)",POINT (960146.0000142661 174002.0143853919),16,77.0,4,0.0,25,0,1921.9754464285713,121.23908482142859,8,1.6495535714285714,2,0.52,1
