ahv_id,timestamp_utc,building_identification_number,status,residence_within_200_feet,enclosed_building_work,full_or_partial_demolition,crane_use,requested_for_date_ranges,apply_reason,work_description,the_geom,house_number,street_name,zip_code
893000,2019-07-01T23:46:00.462060,4618086.0,BORO APPROVED -- FINAL FEE DUE,True,True,False,False,"{""06/29/2019"": [""9:00 AM"", ""5:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""]}",EMERGENCY REPAIR WORK,FINISH WORK.(Restrictions: No excessive noise before 10am w/in 200' of residence) - ADL,POINT (-73.9183772486524 40.76130158444954),31-16,38 ST,11103.0
893001,2019-07-01T23:46:01.188372,1013574.0,AHV SUCCESSFULLY ISSUED,False,True,False,False,"{""06/23/2019"": [""9:00 AM"", ""5:00 PM""], ""06/30/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,"MASONRY, , ELECTRICAL WORK (FILED UNDER #M00099229)",POINT (-73.9936303589702 40.75324317111496),315,W  35 ST,10018.0
893002,2019-07-01T23:46:01.847920,1047625.0,PAYMENT PROCESSING UNDERWAY,True,False,False,False,"{""06/22/2019"": [""9:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,"FACADE REPAIR. NO CHANGE IN EGRESS, USE OR OCCUPANCY INVOLVED UNDER THIS APPLICATION",POINT (-73.95655069395094 40.77724665008052),150,E  83 ST,10028.0
893003,2019-07-01T23:46:03.539822,3412983.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""8:00 AM"", ""5:00 PM""], ""06/29/2019"": [""8:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"NEW 2 FAMILY HOUSE, MASONRY WALLS, FLOOR JOIST",,,,
893004,2019-07-01T23:46:04.212920,4298234.0,AHV SUCCESSFULLY ISSUED,True,False,True,False,"{""06/21/2019"": [""6:00 PM"", ""12:00 AM""], ""06/22/2019"": [""8:00 AM"", ""6:30 PM""], ""06/24/2019"": [""6:00 PM"", ""12:00 AM""]}",CITY CONSTRUCTION PROJECT,"PARAPETS, WINDOWS, ROOFS, EXTERIOR MASONRY, CONCRETE",POINT (-73.74947528848898 40.60417178708517),10-45,NAMEOKE ST,11691.0
893005,2019-07-01T23:46:04.867256,4169709.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""7:00 AM"", ""5:00 PM""], ""06/29/2019"": [""7:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"SHEETROCK INSTALLATION, TILES INSTALLATION, COMPOUND OK to issue AHV with stipulation  added to AHV description of work (Restrictions: No excessive noise before 10am w/in 200' of residence) - ADL",POINT (-73.74175384619299 40.776081290297704),254-11,38 AVE,11363.0
893006,2019-07-01T23:46:05.524043,1047625.0,IN PROCESS,True,False,False,False,"{""06/22/2019"": [""9:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,"FACADE REPAIR. NO CHANGE IN EGRESS, USE OR OCCUPANCY INVOLVED UNDER THIS APPLICATION",POINT (-73.95655069395094 40.77724665008052),150,E  83 ST,10028.0
893007,2019-07-01T23:46:07.219684,5817096.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""10:00 AM"", ""5:00 PM""], ""06/29/2019"": [""10:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"NO LOUD NOISES. MOSTLY INSIDE BUILDING INTERIOR WORKS, MIGHT BE MINIMUM STRUCTURAL STEEL WORKS OR MASONRY. MINIMAL NOISE. NO HARM OR DISTURBANCE TO LOCAL RESIDENTS.",,,,
893008,2019-07-01T23:46:08.918309,1009546.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""7:00 AM"", ""6:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"MASONRY AND CONCRETE, CARPENTRY, STRUCTURAL STEEL STAIRS, HOUSEKEEPING, , AND PAINTING.",POINT (-73.9966003990683 40.734027838132725),21,W  10 ST,10011.0
893009,2019-07-01T23:46:09.586117,4125418.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""7:00 AM"", ""5:00 PM""], ""06/29/2019"": [""7:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,FOUNDATION. Restrictions: No excessive noise before 10am w/in 200' of residence,POINT (-73.78446167391287 40.753420477012156),46-16,196 PL,11358.0
