"PermitNumber","PermitteeName","PermitTypeID","PermitIssueDateFrom","IssuedWorkStartDate","IssuedWorkEndDate","PermitHouseNumber","OnStreetName","FromStreetName","ToStreetName","RoadWayType","SideWalkType","Status","BoroughName","SpecificLocation","CraneType","EquipmentType",
"Q012019200D64","THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY","'0122","7/19/2019 1:29:28 PM","7/25/2019 12:00:00 AM","8/23/2019 11:59:59 PM","'"," 133 STREET","  97 AVENUE"," 101 AVENUE","","","ACTIVE","QUEENS","","","",
"Q012019200D63","THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY","'0122","7/19/2019 1:29:08 PM","8/15/2019 12:00:00 AM","9/13/2019 11:59:59 PM","'"," 130 STREET","  95 AVENUE","  97 AVENUE","","","ACTIVE","QUEENS","","","",
"Q012019200D62","THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY","'0122","7/19/2019 1:29:08 PM","7/25/2019 12:00:00 AM","8/23/2019 11:59:59 PM","'"," 130 STREET","  95 AVENUE","  97 AVENUE","","","ACTIVE","QUEENS","","","",
"S162019200A21","CURBSIDE INC.","'1600","7/19/2019 1:28:54 PM","7/20/2019 12:00:00 AM","7/24/2019 11:59:59 PM","'","GREAVES AVENUE","ELKHART STREET","FAIRFIELD STREET","","","ACTIVE","STATEN ISLAND","15 Fairfield St  ","","",
"B162019200B37","CURBSIDE INC.","'1600","7/19/2019 1:28:54 PM","7/20/2019 12:00:00 AM","7/24/2019 11:59:59 PM","'","GREENPOINT AVENUE","DEAD END","WEST STREET","","","ACTIVE","BROOKLYN","73 West St ","","",
"M162019200A85","CURBSIDE INC.","'1600","7/19/2019 1:28:53 PM","7/20/2019 12:00:00 AM","7/24/2019 11:59:59 PM","'","EAST   82 STREET","LEXINGTON AVENUE","PARK AVENUE","","","ACTIVE","MANHATTAN","969 Park Ave ","","",
"B162019200B36","CURBSIDE INC.","'1600","7/19/2019 1:28:53 PM","7/20/2019 12:00:00 AM","7/24/2019 11:59:59 PM","'","  13 STREET","   6 AVENUE","   7 AVENUE","","","ACTIVE","BROOKLYN","362 13th St ","","",
"B162019200B35","CURBSIDE INC.","'1600","7/19/2019 1:28:53 PM","7/20/2019 12:00:00 AM","7/24/2019 11:59:59 PM","'","SEELEY STREET","  20 STREET","MC DONALD AVENUE","","","ACTIVE","BROOKLYN","42 Seeley St ","","",
"M162019200A84","CURBSIDE INC.","'1601","7/19/2019 1:28:52 PM","7/20/2019 12:00:00 AM","7/24/2019 11:59:59 PM","'","VANDERBILT AVENUE","EAST   46 STREET","EAST   47 STREET","","","ACTIVE","MANHATTAN","45 E 45th St ","","",
"Q012019200D61","THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY","'0122P","7/19/2019 1:27:48 PM","7/25/2019 12:00:00 AM","8/23/2019 11:59:59 PM","'"," 102 ROAD","  86 STREET","  88 STREET","","","ACTIVE","QUEENS","","","",
"Q012019200D60","THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY","'0122P","7/19/2019 1:27:48 PM","7/25/2019 12:00:00 AM","8/23/2019 11:59:59 PM","'"," 102 ROAD","  86 STREET","  88 STREET","","","ACTIVE","QUEENS","","","",
